,title,title_lower,critic_score,audience_score
0,The Umbrella Academy,the umbrella academy,85,78
1,Man vs. Bee,man vs. bee,62,62
2,Stranger Things,stranger things,91,91
3,Peaky Blinders,peaky blinders,94,93
4,You Don't Know Me,you don't know me,-1,-1
5,Heartstopper,heartstopper,100,98
6,Money Heist: Korea - Joint Economic Area,money heist: korea - joint economic area,83,49
7,Better Call Saul,better call saul,98,96
8,Breaking Bad,breaking bad,96,97
9,Borgen,borgen,100,98
10,Money Heist,money heist,94,78
11,Keep Sweet: Pray and Obey,keep sweet: pray and obey,91,92
12,God's Favorite Idiot,god's favorite idiot,20,69
13,The Lincoln Lawyer,the lincoln lawyer,79,80
14,Snowflake Mountain,snowflake mountain,0,62
15,Dark,dark,95,94
16,Ozark,ozark,82,87
17,Arcane: League of Legends,arcane: league of legends,100,96
18,"Love, Death + Robots","love, death + robots",85,79
19,Anatomy of a Scandal,anatomy of a scandal,60,45
20,Intimacy,intimacy,88,50
21,First Kill,first kill,60,89
22,The Last Kingdom,the last kingdom,91,94
23,Pieces of Her,pieces of her,50,34
24,Squid Game,squid game,95,83
25,The Walking Dead,the walking dead,80,78
26,Sex/Life,sex/life,22,35
27,The Flash,the flash,89,64
28,Hellbound,hellbound,97,69
29,Midnight Mass,midnight mass,86,77
30,The Staircase,the staircase,94,82
31,The Witcher,the witcher,81,75
32,Mindhunter,mindhunter,97,95
33,Avatar: The Last Airbender,avatar: the last airbender,100,98
34,Russian Doll,russian doll,97,79
35,Shameless,shameless,82,81
36,Supernatural,supernatural,93,75
37,Sex Education,sex education,95,92
38,"Web of Make Believe: Death, Lies & the Internet","web of make believe: death, lies & the internet",-1,47
39,You,you,91,76
40,Love & Anarchy,love & anarchy,100,82
41,Outlander,outlander,89,86
42,Black Summer,black summer,89,61
43,Bridgerton,bridgerton,82,76
44,Lucifer,lucifer,88,73
45,Inventing Anna,inventing anna,64,35
46,The Pentaverate,the pentaverate,28,62
47,Outer Banks,outer banks,78,79
48,The 100,the 100,93,66
49,Black Mirror,black mirror,84,83
50,The Blacklist,the blacklist,91,80
51,After Life,after life,69,86
52,Attack on Titan,attack on titan,96,95
53,Riverdale,riverdale,80,51
54,All American,all american,96,67
55,Behind Her Eyes,behind her eyes,62,57
56,The Vampire Diaries,the vampire diaries,86,70
57,The Sinner,the sinner,89,73
58,Cobra Kai,cobra kai,93,92
59,Jurassic World: Camp Cretaceous,jurassic world: camp cretaceous,92,83
60,The Haunting of Hill House,the haunting of hill house,93,91
61,The Queen's Gambit,the queen's gambit,96,94
62,Alias Grace,alias grace,99,88
63,Archive 81,archive 81,86,72
64,All of Us Are Dead,all of us are dead,83,79
65,Vikings: Valhalla,vikings: valhalla,89,52
66,Altered Carbon,altered carbon,75,64
67,The Stranger,the stranger,83,72
68,Manifest,manifest,-1,70
69,Shadow and Bone,shadow and bone,88,88
70,13 Reasons Why,13 reasons why,35,57
71,Unbelievable,unbelievable,98,89
72,Locke & Key,locke & key,74,66
73,The Crown,the crown,90,91
74,BoJack Horseman,bojack horseman,93,95
75,Legacies,legacies,-1,80
76,The Good Place,the good place,97,89
77,The OA,the oa,84,84
78,Grey's Anatomy,grey's anatomy,84,75
79,The Order,the order,100,73
80,Godless,godless,83,85
81,Love,love,94,87
82,Community,community,88,88
83,Top Boy,top boy,95,88
84,Dead End: Paranormal Park,dead end: paranormal park,100,76
85,The End of the F...ing World,the end of the f...ing world,94,92
86,Narcos,narcos,89,95
87,Safe,safe,71,76
88,Ginny & Georgia,ginny & georgia,68,69
89,Feel Good,feel good,100,90
90,House of Cards,house of cards,77,76
91,First Class,first class,-1,-1
92,Stay Close,stay close,92,53
93,Never Have I Ever,never have i ever,94,87
94,How to Get Away With Murder,how to get away with murder,88,86
95,Collateral,collateral,79,71
96,The Beauty Queen of Jerusalem,the beauty queen of jerusalem,-1,50
97,Elite,elite,97,75
98,Sweet Tooth,sweet tooth,97,87
99,Bodyguard,bodyguard,93,84
